abbrev, 1.0.7, ISC, git+ssh://git@github.com/isaacs/abbrev-js.git
accepts, 1.2.12, MIT, https://github.com/jshttp/accepts
ace-qradar-logger, 0.0.1, undefined, https://hub.jazz.net/git/flannanl/ace-qradar-logger
ace-runtime, 0.0.5, undefined, https://hub.jazz.net/git/flannanl/ace-runtime
acorn, 1.2.2, MIT, https://github.com/marijnh/acorn.git
adm-zip, 0.4.4, undefined, https://github.com/cthackers/adm-zip.git
after, 0.8.1, undefined, git://github.com/Raynos/after.git
agent-base, 1.0.2, MIT, git://github.com/TooTallNate/node-agent-base.git
align-text, 0.1.3, MIT, git://github.com/jonschlinkert/align-text.git
amdefine, 1.0.0, BSD-3-Clause AND MIT, git+https://github.com/jrburke/amdefine.git
amdextract, 2.1.10, MIT, git+https://github.com/mehdishojaei/amdextract.git
ansi, 0.3.0, undefined, git://github.com/TooTallNate/ansi.js.git
ansi-green, 0.1.1, MIT, git+https://github.com/jonschlinkert/ansi-green.git
ansi-regex, 2.0.0, MIT, https://github.com/sindresorhus/ansi-regex
ansi-styles, 2.1.0, MIT, https://github.com/chalk/ansi-styles
ansi-wrap, 0.1.0, [object Object], https://github.com/jonschlinkert/ansi-wrap.git
anymatch, 1.3.0, ISC, https://github.com/es128/anymatch
archive-type, 3.0.1, MIT, git+https://github.com/kevva/archive-type.git
archy, 1.0.0, MIT, http://github.com/substack/node-archy.git
are-we-there-yet, 1.0.4, ISC, https://github.com/iarna/are-we-there-yet.git
argparse, 1.0.2, MIT, git://github.com/nodeca/argparse.git
arr-diff, 1.0.1, [object Object], git://github.com/jonschlinkert/arr-diff.git
arr-flatten, 1.0.1, [object Object], git://github.com/jonschlinkert/arr-flatten.git
array-differ, 1.0.0, MIT, git://github.com/sindresorhus/array-differ
array-flatten, 1.1.1, MIT, git://github.com/blakeembrey/array-flatten.git
array-parallel, 0.1.3, MIT, https://github.com/component/array-parallel.git
array-series, 0.1.5, MIT, https://github.com/component/array-series.git
array-slice, 0.2.3, [object Object], git://github.com/jonschlinkert/array-slice.git
array-union, 1.0.1, MIT, https://github.com/sindresorhus/array-union
array-uniq, 1.0.2, MIT, https://github.com/sindresorhus/array-uniq
array-unique, 0.2.1, [object Object], git://github.com/jonschlinkert/array-unique.git
arraybuffer.slice, 0.0.6, undefined, git@github.com:rase-/arraybuffer.slice.git
arrify, 1.0.0, MIT, https://github.com/sindresorhus/arrify
asap, 2.0.3, [object Object], git+https://github.com/kriskowal/asap.git
ascli, 1.0.0, Apache-2.0, https://github.com/dcodeIO/ascli.git
asn1, 0.1.11, undefined, git://github.com/mcavage/node-asn1.git
asn1.js, 2.2.0, MIT, git+ssh://git@github.com/indutny/asn1.js.git
assert-plus, 0.1.5, undefined, https://github.com/mcavage/node-assert-plus.git
async, 0.2.10, undefined, https://github.com/caolan/async.git
async-each, 0.1.6, MIT, git://github.com/paulmillr/async-each.git
async-each-series, 1.1.0, MIT, git+ssh://git@github.com/jb55/async-each-series.git
async-foreach, 0.1.3, undefined, git://github.com/cowboy/javascript-sync-async-foreach.git
autoprefixer-core, 5.2.1, MIT, git+https://github.com/postcss/autoprefixer-core.git
aws-sign2, 0.5.0, undefined, https://github.com/mikeal/aws-sign
balanced-match, 0.2.0, MIT, git://github.com/juliangruber/balanced-match.git
base64-arraybuffer, 0.1.2, undefined, https://github.com/niklasvh/base64-arraybuffer
base64-js, 0.0.6, MIT, git://github.com/beatgammit/base64-js.git
base64-url, 1.2.1, ISC, git://github.com/joaquimserafim/base64-url.git
base64id, 0.1.0, undefined, git://github.com/faeldt/base64id.git
base64url, 0.0.6, MIT, git://github.com/brianloveswords/base64url.git
basic-auth, 1.0.3, MIT, https://github.com/jshttp/basic-auth
batch, 0.5.2, undefined, https://github.com/visionmedia/batch.git
beeper, 1.1.0, MIT, https://github.com/sindresorhus/beeper
benchmark, 1.0.0, undefined, https://github.com/bestiejs/benchmark.js.git
better-assert, 1.0.2, undefined, https://github.com/visionmedia/better-assert.git
bin-build, 2.1.2, MIT, git+https://github.com/kevva/bin-build.git
bin-check, 2.0.0, MIT, git+https://github.com/kevva/bin-check.git
bin-pack, 1.0.1, MIT, git@github.com:bryanburgers/bin-pack.git
bin-version, 1.0.4, MIT, git+https://github.com/sindresorhus/bin-version.git
bin-version-check, 2.1.0, MIT, https://github.com/sindresorhus/bin-version-check
bin-wrapper, 3.0.2, MIT, git+https://github.com/kevva/bin-wrapper.git
binary, 0.3.0, MIT, git://github.com/substack/node-binary.git
binary-extensions, 1.3.1, MIT, https://github.com/sindresorhus/binary-extensions
binaryextensions, 1.0.0, [object Object], http://github.com/bevry/binaryextensions.git
bindings, 1.2.1, MIT, git://github.com/TooTallNate/node-bindings.git
bl, 1.0.0, MIT, git+https://github.com/rvagg/bl.git
blob, 0.0.4, undefined, git@github.com:rase-/blob.git
block-stream, 0.0.8, ISC, git://github.com/isaacs/block-stream.git
bluebird, 2.9.34, MIT, git://github.com/petkaantonov/bluebird.git
bluemix-auth, 0.0.1, undefined, https://hub.jazz.net/git/flannanl/bluemix-auth
bluemix-monitor-outgoing-response-time, 0.0.1, undefined, https://hub.jazz.net/git/aerwin/bluemix-monitor-outgoing-response-time
bluemix-monitor-publish, 0.0.1, undefined, https://hub.jazz.net/git/aerwin/bluemix-monitor-publish
bluemix-monitor-response-time, 0.0.1, undefined, https://hub.jazz.net/git/aerwin/bluemix-monitor-response-time
bluemix-utils, 0.0.1, undefined, https://hub.jazz.net/git/aerwin/bluemix-utils
bn.js, 2.2.0, MIT, git+ssh://git@github.com/indutny/bn.js.git
body-parser, 1.12.4, MIT, https://github.com/expressjs/body-parser
boom, 2.8.0, BSD-3-Clause, git://github.com/hapijs/boom.git
bplist-parser, 0.0.6, MIT, https://github.com/nearinfinity/node-bplist-parser.git
brace-expansion, 1.1.0, MIT, git://github.com/juliangruber/brace-expansion.git
braces, 1.8.0, [object Object], git://github.com/jonschlinkert/braces.git
browser-launcher2, 0.4.5, MIT, git://github.com/benderjs/browser-launcher2.git
browser-request, 0.3.3, undefined, git://github.com/iriscouch/browser-request
browser-sync-client, 2.3.1, undefined, git://github.com/shakyshane/browser-sync-client.git
browser-sync-ui, 0.5.16, undefined, git+https://github.com/browsersync/UI.git
browserify-zlib, 0.1.4, MIT, git://github.com/devongovett/browserify-zlib.git
browserslist, 0.4.0, MIT, git+https://github.com/ai/browserslist.git
buffer-crc32, 0.2.5, MIT, git://github.com/brianloveswords/buffer-crc32.git
buffer-equal-constant-time, 1.0.1, BSD-3-Clause, git@github.com:goinstant/buffer-equal-constant-time.git
buffer-to-vinyl, 1.0.1, MIT, git+https://github.com/kevva/buffer-to-vinyl.git
buffers, 0.1.1, undefined, git://github.com/substack/node-buffers.git
bufferutil, 1.1.0, MIT, https://github.com/websockets/bufferutil
bufferview, 1.0.1, Apache-2.0, https://github.com/dcodeIO/node-BufferView.git
builtin-modules, 1.1.0, MIT, git+https://github.com/sindresorhus/builtin-modules.git
bytebuffer, 4.1.0, Apache-2.0, git+https://github.com/dcodeIO/ByteBuffer.js.git
bytes, 2.1.0, MIT, https://github.com/visionmedia/bytes.js
cached-request, 0.0.1, undefined, https://hub.jazz.net/git/flannanl/cached-request
camel-case, 1.1.2, MIT, git://github.com/blakeembrey/camel-case.git
camelcase, 1.2.1, MIT, https://github.com/sindresorhus/camelcase
camelcase-keys, 1.0.0, MIT, https://github.com/sindresorhus/camelcase-keys
caniuse-db, 1.0.30000310, CC-BY, https://github.com/Fyrd/caniuse.git
capture-stack-trace, 1.0.0, MIT, https://github.com/floatdrop/capture-stack-trace
caseless, 0.11.0, Apache-2.0, git+https://github.com/mikeal/caseless.git
caw, 1.1.0, MIT, git+https://github.com/kevva/caw.git
center-align, 0.1.1, [object Object], git://github.com/jonschlinkert/center-align.git
cfenv, 1.0.0, Apache-2.0, https://github.com/cloudfoundry-community/node-cfenv.git
chainsaw, 0.1.0, MIT/X11, git://github.com/substack/node-chainsaw.git
chalk, 1.1.0, MIT, https://github.com/chalk/chalk
change-case, 2.3.0, MIT, https://github.com/blakeembrey/change-case
chokidar, 1.0.5, MIT, git+https://github.com/paulmillr/chokidar.git
cldr-data, 27.0.6, undefined, git://github.com/rxaviers/cldr-data-npm.git
cldr-data-downloader, 0.2.3, undefined, git://github.com/rxaviers/cldr-data-downloader.git
cldrjs, 0.4.1, undefined, git://github.com/rxaviers/cldrjs.git
clean-css, 3.3.10, MIT, https://github.com/jakubpawlowicz/clean-css.git
cli, 0.6.6, undefined, http://github.com/chriso/cli.git
client-sessions, 0.7.0, undefined, https://github.com/mozilla/node-client-sessions
cliui, 2.1.0, ISC, http://github.com/bcoe/cliui.git
clone, 1.0.2, MIT, git://github.com/pvorb/node-clone.git
clone-stats, 0.0.1, MIT, git://github.com/hughsk/clone-stats
cloudant, 1.0.0-beta3, Apache 2.0, git://github.com/cloudant/nodejs-cloudant
co, 3.1.0, MIT, https://github.com/visionmedia/co.git
coa, 1.0.1, undefined, git://github.com/veged/coa.git
coffee-script, 1.3.3, undefined, git://github.com/jashkenas/coffee-script.git
colors, 0.6.0-1, undefined, git://github.com/Marak/colors.js.git
colour, 0.7.1, MIT, https://github.com/dcodeIO/colour.js.git
combined-stream, 1.0.5, MIT, git://github.com/felixge/node-combined-stream.git
commander, 0.6.1, undefined, git://github.com/visionmedia/commander.js.git
commist, 1.0.0, MIT, https://github.com/mcollina/commist.git
component-bind, 1.0.0, undefined, https://github.com/component/bind.git
component-emitter, 1.1.2, undefined, https://github.com/component/emitter.git
compressible, 2.0.5, MIT, https://github.com/jshttp/compressible
compression, 1.5.2, MIT, https://github.com/expressjs/compression
concat-map, 0.0.1, MIT, git://github.com/substack/node-concat-map.git
concat-stream, 1.4.10, MIT, git+ssh://git@github.com/maxogden/concat-stream.git
config-chain, 1.1.9, undefined, https://github.com/dominictarr/config-chain.git
configstore, 1.2.1, BSD-2-Clause, https://github.com/yeoman/configstore
connect, 1.9.2, undefined, git://github.com/senchalabs/connect
connect-redis, 2.5.0, MIT, git+ssh://git@github.com/visionmedia/connect-redis.git
consolidate, 0.11.0, undefined, https://github.com/visionmedia/consolidate.js.git
constant-case, 1.1.1, MIT, git://github.com/blakeembrey/constant-case.git
content-disposition, 0.5.0, MIT, https://github.com/jshttp/content-disposition
content-type, 1.0.1, MIT, https://github.com/jshttp/content-type
contentstream, 1.0.0, MIT, git://github.com/stream-utils/contentstream.git
cookie, 0.1.3, MIT, https://github.com/jshttp/cookie
cookie-parser, 1.3.5, MIT, https://github.com/expressjs/cookie-parser
cookie-signature, 1.0.6, MIT, https://github.com/visionmedia/node-cookie-signature.git
cookies, 0.5.0, MIT, git://github.com/expressjs/cookies
core-util-is, 1.0.1, MIT, git://github.com/isaacs/core-util-is
crc, 3.3.0, MIT, git://github.com/alexgorbatchev/node-crc.git
create-error-class, 2.0.1, MIT, https://github.com/floatdrop/create-error-class
cryptiles, 2.0.4, undefined, git://github.com/hapijs/cryptiles
csrf, 3.0.0, MIT, https://github.com/pillarjs/csrf
csslint, 0.10.0, undefined, https://github.com/stubbornella/csslint.git
csurf, 1.8.3, MIT, https://github.com/expressjs/csurf
ctype, 0.5.3, undefined, https://github.com/rmustacc/node-ctype.git
cwise, 1.0.8, MIT, git://github.com/scijs/cwise.git
cwise-compiler, 1.1.2, MIT, git://github.com/scijs/cwise-compiler.git
cwise-parser, 1.0.2, MIT, git://github.com/scijs/cwise-parser.git
datacache-connect, 0.0.2, undefined, https://hub.jazz.net/git/flannanl/datacache-connect
date-utils, 1.2.17, MIT, http://github.com/JerrySievert/date-utils.git
dateformat, 1.0.11, undefined, https://github.com/felixge/node-dateformat.git
deap, 1.0.0, MIT, git://github.com/selfcontained/deap.git
debug, 2.0.0, undefined, git://github.com/visionmedia/debug.git
decamelize, 1.0.0, MIT, https://github.com/sindresorhus/decamelize
decompress, 2.3.0, MIT, https://github.com/kevva/decompress
deep-extend, 0.2.11, MIT, git://github.com/unclechu/node-deep-extend.git
default-browser-id, 1.0.2, MIT, https://github.com/sindresorhus/default-browser-id
defaults, 1.0.2, MIT, git://github.com/tmpvar/defaults.git
delayed-stream, 1.0.0, MIT, git://github.com/felixge/node-delayed-stream.git
delegates, 0.1.0, MIT, git://github.com/visionmedia/node-delegates
depd, 1.0.1, MIT, https://github.com/dougwilson/nodejs-depd
deprecated, 0.0.1, undefined, git://github.com/wearefractal/deprecated.git
destroy, 1.0.3, MIT, https://github.com/stream-utils/destroy
dev-ip, 1.0.1, undefined, git://github.com/shakyshane/dev-ip.git
diff, 1.4.0, undefined, git://github.com/kpdecker/jsdiff.git
doctrine, 0.6.4, undefined, http://github.com/Constellation/doctrine.git
dom-serializer, 0.1.0, MIT, git://github.com/cheeriojs/dom-renderer.git
dom5, 1.2.0, BSD-3-Clause, git+https://github.com/PolymerLabs/dom5.git
domelementtype, 1.1.3, undefined, git://github.com/FB55/domelementtype.git
domhandler, 2.3.0, undefined, git://github.com/fb55/DomHandler.git
domutils, 1.5.1, undefined, git://github.com/FB55/domutils.git
dot-case, 1.1.1, MIT, git://github.com/blakeembrey/dot-case.git
download, 4.2.1, MIT, git+https://github.com/kevva/download.git
duplexer2, 0.0.2, BSD, git://github.com/deoxxa/duplexer2.git
duplexify, 3.4.2, MIT, git://github.com/mafintosh/duplexify.git
dust-static-cache, 0.0.3, undefined, https://hub.jazz.net/git/sheehan/dust-static-cache
dustjs-helpers, 1.7.3, MIT, git+https://github.com/linkedin/dustjs-helpers.git
dustjs-linkedin, 2.7.2, MIT, git+https://github.com/linkedin/dustjs.git
each-async, 1.1.1, MIT, https://github.com/sindresorhus/each-async
easy-extender, 2.3.1, undefined, git://github.com/shakyshane/easy-extender.git
eazy-logger, 2.1.2, undefined, git://github.com/shakyshane/easy-logger.git
ecdsa-sig-formatter, 1.0.2, Apache-2.0, git+ssh://git@github.com/Brightspace/node-ecdsa-sig-formatter.git
ee-first, 1.1.1, MIT, https://github.com/jonathanong/ee-first
ejs, 2.3.4, Apache-2.0, git://github.com/mde/ejs.git
emitter-steward, 1.0.0, MIT, https://github.com/shakyShane/emitter-steward
end-of-stream, 1.0.0, MIT, git://github.com/mafintosh/end-of-stream.git
engine.io, 1.5.4, undefined, git+ssh://git@github.com/Automattic/engine.io.git
engine.io-client, 1.5.4, undefined, git+https://github.com/Automattic/engine.io-client.git
engine.io-parser, 1.2.2, undefined, git+ssh://git@github.com/Automattic/engine.io-parser.git
entities, 1.1.1, BSD-like, git://github.com/fb55/node-entities.git
error-ex, 1.2.0, MIT, git+https://github.com/qix-/node-error-ex.git
errorhandler, 1.4.2, MIT, https://github.com/expressjs/errorhandler
errs, 0.2.4, undefined, http://github.com/flatiron/errs.git
es6-promise, 2.3.0, MIT, git://github.com/jakearchibald/ES6-Promises.git
escape-html, 1.0.2, MIT, https://github.com/component/escape-html
escape-string-regexp, 1.0.2, MIT, https://github.com/sindresorhus/escape-string-regexp
escodegen, 0.0.28, undefined, http://github.com/Constellation/escodegen.git
esprima, 2.0.0, undefined, https://github.com/jquery/esprima.git
estraverse, 1.3.2, undefined, http://github.com/Constellation/estraverse.git
esutils, 1.0.0, undefined, http://github.com/Constellation/esutils.git
etag, 1.7.0, MIT, https://github.com/jshttp/etag
eventemitter3, 0.1.6, MIT, git://github.com/primus/EventEmitter3.git
exec-buffer, 2.0.1, MIT, https://github.com/kevva/exec-buffer
exec-series, 1.0.2, MIT, git+https://github.com/shinnn/exec-series.git
executable, 1.1.0, MIT, https://github.com/kevva/executable
exit, 0.1.2, undefined, git://github.com/cowboy/node-exit.git
expand-brackets, 0.1.3, MIT, git+https://github.com/jonschlinkert/expand-brackets.git
expand-range, 1.8.1, [object Object], git://github.com/jonschlinkert/expand-range.git
express, 4.13.3, MIT, https://github.com/strongloop/express
express-session, 1.11.3, MIT, https://github.com/expressjs/session
extend, 3.0.0, MIT, git+https://github.com/justmoon/node-extend.git
extglob, 0.3.1, MIT, git://github.com/jonschlinkert/extglob.git
fancy-log, 1.1.0, MIT, git+https://github.com/phated/fancy-log.git
fd-slicer, 1.0.1, MIT, git://github.com/andrewrk/node-fd-slicer.git
figures, 1.4.0, MIT, git+https://github.com/sindresorhus/figures.git
file-type, 2.12.0, MIT, https://github.com/sindresorhus/file-type
filename-regex, 2.0.0, [object Object], git://github.com/regexps/filename-regex.git
filename-reserved-regex, 1.0.0, MIT, https://github.com/sindresorhus/filename-reserved-regex
fill-range, 2.2.2, [object Object], git://github.com/jonschlinkert/fill-range.git
finalhandler, 0.3.3, MIT, https://github.com/pillarjs/finalhandler
find-index, 0.1.1, MIT, git://github.com/jsdf/find-index.git
find-up, 1.0.0, MIT, https://github.com/sindresorhus/find-up
find-versions, 1.1.3, MIT, https://github.com/sindresorhus/find-versions
findup-sync, 0.2.1, undefined, git://github.com/cowboy/node-findup-sync.git
first-chunk-stream, 1.0.0, MIT, https://github.com/sindresorhus/first-chunk-stream
flagged-respawn, 0.3.1, undefined, git://github.com/tkellen/node-flagged-respawn.git
follow, 0.11.4, Apache 2.0, git://github.com/iriscouch/follow
for-in, 0.1.4, [object Object], git://github.com/jonschlinkert/for-in.git
for-own, 0.1.3, [object Object], git://github.com/jonschlinkert/for-own.git
foreach, 2.0.5, MIT, git://github.com/manuelstofer/foreach
forever-agent, 0.6.1, Apache-2.0, https://github.com/mikeal/forever-agent
form-data, 1.0.0-rc3, MIT, git://github.com/form-data/form-data.git
forwarded, 0.1.0, MIT, https://github.com/jshttp/forwarded
foxy, 11.1.3, MIT, git+https://github.com/shakyshane/foxy.git
fresh, 0.3.0, MIT, https://github.com/jshttp/fresh
fs-sync, 0.2.6, MIT, git@github.com:kaelzhang/node-fs-sync.git
fsevents, 0.3.8, MIT, git+https://github.com/strongloop/fsevents.git
fstream, 0.1.31, BSD, git://github.com/isaacs/fstream.git
fstream-ignore, 0.0.7, BSD, git://github.com/isaacs/fstream-ignore.git
function-bind, 1.0.2, undefined, git://github.com/Raynos/function-bind.git
gauge, 1.2.2, ISC, git+https://github.com/iarna/gauge.git
gaze, 0.5.1, undefined, git://github.com/shama/gaze.git
generate-function, 2.0.0, MIT, https://github.com/mafintosh/generate-function
generate-object-property, 1.2.0, MIT, https://github.com/mafintosh/generate-object-property
geoip-lite, 1.1.6, undefined, git://github.com/bluesmoon/node-geoip.git
get-pixels, 3.1.1, MIT, git://github.com/mikolalysenko/get-pixels.git
get-proxy, 1.0.1, MIT, https://github.com/kevva/get-proxy
get-stdin, 4.0.1, MIT, https://github.com/sindresorhus/get-stdin
gif-encoder, 0.4.1, undefined, git://github.com/twolfson/gif-encoder.git
gifsicle, 3.0.1, MIT, git+https://github.com/imagemin/gifsicle-bin.git
glob, 3.2.3, BSD, git://github.com/isaacs/node-glob.git
glob-base, 0.2.0, [object Object], git://github.com/jonschlinkert/glob-base.git
glob-parent, 1.2.0, ISC, https://github.com/es128/glob-parent
glob-stream, 4.1.1, undefined, https://github.com/wearefractal/glob-stream
glob-watcher, 0.0.8, undefined, git://github.com/wearefractal/glob-watcher.git
glob2base, 0.0.12, undefined, git://github.com/wearefractal/glob2base.git
global, 2.0.1, MIT, git://github.com/component/global.git
globalize, 1.0.0, undefined, git://github.com/jquery/globalize.git
globby, 2.1.0, MIT, https://github.com/sindresorhus/globby
globule, 0.1.0, undefined, git://github.com/cowboy/node-globule.git
gm, 1.20.0, MIT, git+https://github.com/aheckmann/gm.git
got, 3.3.1, MIT, https://github.com/sindresorhus/got
graceful-fs, 2.0.3, BSD, git://github.com/isaacs/node-graceful-fs.git
graceful-readlink, 1.0.1, MIT, git://github.com/zhiyelee/graceful-readlink.git
growl, 1.8.1, undefined, git://github.com/visionmedia/node-growl.git
gulp-gm, 0.0.8, MIT, git://github.com/scalableminds/gulp-gm.git
gulp-util, 3.0.6, MIT, git+https://github.com/wearefractal/gulp-util.git
handlebars, 3.0.3, MIT, https://github.com/wycats/handlebars.js.git
handlebars-layouts, 1.1.0, MIT, https://github.com/shannonmoeller/handlebars-layouts.git
har-validator, 1.8.0, ISC, git+https://github.com/ahmadnassri/har-validator.git
has-ansi, 2.0.0, MIT, https://github.com/sindresorhus/has-ansi
hawk, 3.1.0, BSD-3-Clause, git://github.com/hueniverse/hawk.git
headless, 0.1.7, undefined, git://github.com/kesla/node-headless.git
help-me, 0.1.0, MIT, https://github.com/mcollina/help-me.git
hoek, 2.14.0, BSD-3-Clause, git://github.com/hapijs/hoek.git
hosted-git-info, 2.1.4, ISC, git+https://github.com/npm/hosted-git-info.git
htmlparser2, 3.8.3, MIT, git://github.com/fb55/htmlparser2.git
http-errors, 1.3.1, MIT, https://github.com/jshttp/http-errors
http-proxy, 1.9.1, MIT, https://github.com/nodejitsu/node-http-proxy.git
http-signature, 0.11.0, MIT, git://github.com/joyent/node-http-signature.git
https-proxy-agent, 0.3.6, MIT, git://github.com/TooTallNate/node-https-proxy-agent.git
hydrolysis, 1.17.0, BSD-3-Clause, git+https://github.com/Polymer/hydrolysis.git
i18next, 1.10.4, undefined, git://github.com/jamuhl/i18next-node.git
